Diet	Virgin	Longevity	Tibia
Water only	Virgin female	4	1.35
Water only	Virgin female	4	1.35
Water only	Virgin female	6	1.60
Water only	Virgin female	10	1.50
Water only	Virgin female	5	1.35
Water only	Virgin female	8	1.65
Water only	Virgin female	5	1.40
Water only	Virgin female	6	1.40
Water only	Virgin female	7	1.60
Water only	Virgin female	6	1.60
Water only	Virgin female	6	1.50
Water only	Virgin female	8	1.60
Water only	Virgin female	7	1.40
Water only	Virgin female	8	1.45
Water only	Virgin female	5	1.30
Water only	Virgin female	7	1.75
Water only	Virgin female	8	1.60
Water only	Virgin female	6	1.65
Water only	Virgin female	6	1.40
Water only	Virgin female	8	1.60
Water only	Virgin female	7	1.50
Water only	Virgin female	6	1.50
Water only	Virgin female	8	1.50
Water only	Virgin female	6	1.55
Water only	Virgin female	4	1.70
Water only	Virgin female	7	1.70
Water only	Virgin female	4	1.50
Water only	Virgin female	6	1.35
Water only	Virgin female	7	1.50
Water only	Virgin female	7	1.75
Water only	Virgin female	6	1.55
Water only	Virgin female	7	1.65
Water only	Virgin female	5	1.65
Water only	Virgin female	6	1.60
Water only	Virgin female	5	1.60
Water only	Virgin female	6	1.60
Water only	Virgin female	8	1.60
Water only	Virgin female	6	1.35
Water only	Virgin female	2	1.60
Water only	Virgin female	6	1.55
Water only	Virgin female	5	1.55
Water only	Virgin female	5	1.70
Water only	Virgin female	6	1.50
Water only	Virgin female	7	1.65
Water only	Virgin female	6	1.25
Water only	Virgin female	6	1.35
Undiluted honey and water	Virgin female	18	1.40
Undiluted honey and water	Virgin female	21	1.20
Undiluted honey and water	Virgin female	16	1.55
Undiluted honey and water	Virgin female	16	1.50
Undiluted honey and water	Virgin female	31	1.55
Undiluted honey and water	Virgin female	19	1.40
Undiluted honey and water	Virgin female	11	1.30
Undiluted honey and water	Virgin female	5	1.65
Undiluted honey and water	Virgin female	25	1.40
Undiluted honey and water	Virgin female	15	1.40
Undiluted honey and water	Virgin female	9	1.25
Undiluted honey and water	Virgin female	18	1.30
Undiluted honey and water	Virgin female	33	1.55
Undiluted honey and water	Virgin female	24	1.50
Undiluted honey and water	Virgin female	10	1.50
Undiluted honey and water	Virgin female	13	1.60
Undiluted honey and water	Virgin female	20	1.50
Undiluted honey and water	Virgin female	15	1.60
Undiluted honey and water	Virgin female	12	1.50
Undiluted honey and water	Virgin female	11	1.50
Undiluted honey and water	Virgin female	18	1.50
Undiluted honey and water	Virgin female	28	1.65
Undiluted honey and water	Virgin female	17	1.60
Undiluted honey and water	Virgin female	15	1.60
Undiluted honey and water	Virgin female	21	1.65
Undiluted honey and water	Virgin female	18	1.65
Undiluted honey and water	Virgin female	14	1.75
Undiluted honey and water	Virgin female	11	1.60
Undiluted honey and water	Virgin female	18	1.65
Undiluted honey and water	Virgin female	11	1.50
Undiluted honey and water	Virgin female	23	1.50
Undiluted honey and water	Virgin female	24	1.40
Undiluted honey and water	Virgin female	12	1.60
Undiluted honey and water	Virgin female	17	1.50
Undiluted honey and water	Virgin female	18	1.45
Undiluted honey and water	Virgin female	14	1.65
Undiluted honey and water	Virgin female	6	1.30
Undiluted honey and water	Virgin female	7	1.55
Undiluted honey and water	Virgin female	13	1.65
Undiluted honey and water	Virgin female	13	1.65
Undiluted honey and water	Virgin female	26	1.10
Undiluted honey and water	Virgin female	10	1.10
Undiluted honey and water	Virgin female	20	1.50
Undiluted honey and water	Virgin female	21	1.40
Undiluted honey and water	Virgin female	17	1.30
Undiluted honey and water	Virgin female	9	1.50
Undiluted honey and water	Virgin female	12	1.40
Undiluted honey and water	Virgin female	18	1.40
Undiluted honey and water	Virgin female	17	1.00
Undiluted honey and water	Virgin female	22	1.50
Undiluted honey and water	Virgin female	11	1.55
Honey agar diet and water	Virgin female	89	1.40
Honey agar diet and water	Virgin female	77	1.50
Honey agar diet and water	Virgin female	27	1.60
Honey agar diet and water	Virgin female	58	1.60
Honey agar diet and water	Virgin female	58	1.50
Honey agar diet and water	Virgin female	56	1.25
Honey agar diet and water	Virgin female	31	1.60
Honey agar diet and water	Virgin female	53	1.75
Honey agar diet and water	Virgin female	43	1.50
Honey agar diet and water	Virgin female	44	1.60
Honey agar diet and water	Virgin female	43	1.40
Honey agar diet and water	Virgin female	61	1.30
Honey agar diet and water	Virgin female	57	1.55
Honey agar diet and water	Virgin female	70	1.30
Honey agar diet and water	Virgin female	31	1.55
Honey agar diet and water	Virgin female	37	1.50
Honey agar diet and water	Virgin female	61	1.65
Honey agar diet and water	Virgin female	53	1.70
Honey agar diet and water	Virgin female	47	1.65
Honey agar diet and water	Virgin female	41	1.60
Honey agar diet and water	Virgin female	62	1.50
Honey agar diet and water	Virgin female	21	1.60
Honey agar diet and water	Virgin female	68	1.50
Honey agar diet and water	Virgin female	61	1.35
Honey agar diet and water	Virgin female	32	1.75
Honey agar diet and water	Virgin female	70	1.55
Honey agar diet and water	Virgin female	51	1.75
Honey agar diet and water	Virgin female	31	1.70
Honey agar diet and water	Virgin female	41	1.60
Honey agar diet and water	Virgin female	44	1.50
Honey agar diet and water	Virgin female	52	1.70
Honey agar diet and water	Virgin female	52	1.50
Honey agar diet and water	Virgin female	50	1.10
Honey agar diet and water	Virgin female	45	1.50
Honey agar diet and water	Virgin female	42	1.45
Honey agar diet and water	Virgin female	43	1.65
Honey agar diet and water	Virgin female	56	1.50
Honey agar diet and water	Virgin female	45	1.55
Honey agar diet and water	Virgin female	55	1.60
Honey agar diet and water	Virgin female	47	1.60
Honey agar diet and water	Virgin female	36	1.70
Honey agar diet and water	Virgin female	47	1.50
Honey agar diet and water	Virgin female	41	1.65
Honey agar diet and water	Virgin female	48	1.55
Honey agar diet and water	Virgin female	38	1.70
Honey agar diet and water	Virgin female	34	1.45
Honey agar diet and water	Virgin female	50	1.05
Honey agar diet and water	Virgin female	29	1.40
Honey agar diet and water	Virgin female	64	1.40
Honey agar diet and water	Virgin female	47	1.70
