Diet	Virgin	Development	Sex	Size
Undiluted honey and water	Virgin	26.00	Male	1.10
Undiluted honey and water	Virgin	27.00	Male	1.30
Undiluted honey and water	Virgin	27.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.15
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.40
Undiluted honey and water	Virgin	27.00	Male	1.20
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.45
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	28.00	Male	1.45
Undiluted honey and water	Virgin	28.00	Male	1.25
Undiluted honey and water	Virgin	25.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	23.00	Male	1.25
Undiluted honey and water	Virgin	23.00	Male	1.25
Undiluted honey and water	Virgin	23.00	Male	1.30
Undiluted honey and water	Virgin	24.00	Male	1.35
Undiluted honey and water	Virgin	24.00	Male	1.20
Undiluted honey and water	Virgin	27.00	Male	1.15
Undiluted honey and water	Virgin	27.00	Male	1.25
Undiluted honey and water	Virgin	27.00	Male	1.20
Undiluted honey and water	Virgin	27.00	Male	1.30
Undiluted honey and water	Virgin	27.00	Male	1.25
Undiluted honey and water	Virgin	27.00	Male	1.20
Undiluted honey and water	Virgin	27.00	Male	1.20
Undiluted honey and water	Virgin	27.00	Male	1.35
Undiluted honey and water	Virgin	27.00	Male	1.30
Undiluted honey and water	Virgin	27.00	Male	1.25
Undiluted honey and water	Virgin	28.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.00
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.40
Undiluted honey and water	Virgin	28.00	Male	1.30
Undiluted honey and water	Virgin	28.00	Male	1.25
Undiluted honey and water	Virgin	28.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.35
Undiluted honey and water	Virgin	26.00	Male	1.35
Undiluted honey and water	Virgin	26.00	Male	1.45
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.30
Undiluted honey and water	Virgin	27.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.30
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.35
Undiluted honey and water	Virgin	26.00	Male	1.35
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.35
Undiluted honey and water	Virgin	26.00	Male	1.35
Undiluted honey and water	Virgin	26.00	Male	1.30
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.45
Undiluted honey and water	Virgin	28.00	Male	1.35
Undiluted honey and water	Virgin	28.00	Male	1.35
Undiluted honey and water	Virgin	29.00	Male	1.40
Undiluted honey and water	Virgin	29.00	Male	1.45
Undiluted honey and water	Virgin	29.00	Male	1.30
Undiluted honey and water	Virgin	25.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.30
Undiluted honey and water	Virgin	29.00	Male	1.45
Undiluted honey and water	Virgin	23.00	Male	1.45
Undiluted honey and water	Virgin	23.00	Male	1.55
Undiluted honey and water	Virgin	24.00	Male	1.55
Undiluted honey and water	Virgin	24.00	Male	1.55
Undiluted honey and water	Virgin	24.00	Male	1.60
Undiluted honey and water	Virgin	24.00	Male	1.00
Undiluted honey and water	Virgin	24.00	Male	1.10
Undiluted honey and water	Virgin	24.00	Male	1.30
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	25.00	Male	1.20
Undiluted honey and water	Virgin	25.00	Male	1.50
Undiluted honey and water	Virgin	25.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.20
Undiluted honey and water	Virgin	27.00	Male	1.15
Undiluted honey and water	Virgin	27.00	Male	1.20
Undiluted honey and water	Virgin	27.00	Male	1.10
Undiluted honey and water	Virgin	28.00	Male	1.30
Undiluted honey and water	Virgin	28.00	Male	1.30
Undiluted honey and water	Virgin	28.00	Male	1.40
Undiluted honey and water	Virgin	28.00	Male	1.25
Undiluted honey and water	Virgin	27.00	Male	1.25
Undiluted honey and water	Virgin	27.00	Male	1.35
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.25
Undiluted honey and water	Virgin	25.00	Male	1.25
Undiluted honey and water	Virgin	25.00	Male	1.25
Undiluted honey and water	Virgin	25.00	Male	1.30
Undiluted honey and water	Virgin	25.00	Male	1.15
Undiluted honey and water	Virgin	25.00	Male	1.00
Undiluted honey and water	Virgin	25.00	Male	1.20
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.50
Undiluted honey and water	Virgin	24.00	Male	1.50
Undiluted honey and water	Virgin	24.00	Male	1.40
Undiluted honey and water	Virgin	25.00	Male	1.40
Undiluted honey and water	Virgin	25.00	Male	1.30
Undiluted honey and water	Virgin	25.00	Male	1.30
Undiluted honey and water	Virgin	25.00	Male	1.00
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	27.00	Male	1.40
Undiluted honey and water	Virgin	27.00	Male	1.35
Undiluted honey and water	Virgin	28.00	Male	1.35
Undiluted honey and water	Virgin	27.00	Male	1.35
Undiluted honey and water	Virgin	27.00	Male	1.20
Undiluted honey and water	Virgin	29.00	Male	1.45
Undiluted honey and water	Virgin	29.00	Male	1.35
Undiluted honey and water	Virgin	28.00	Male	1.35
Undiluted honey and water	Virgin	28.00	Male	1.20
Undiluted honey and water	Virgin	28.00	Male	1.20
Undiluted honey and water	Virgin	29.00	Male	1.40
Undiluted honey and water	Virgin	29.00	Male	1.15
Undiluted honey and water	Virgin	29.00	Male	1.30
Undiluted honey and water	Virgin	26.00	Male	1.30
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.30
Undiluted honey and water	Virgin	26.00	Male	1.25
Undiluted honey and water	Virgin	26.00	Male	1.30
Undiluted honey and water	Virgin	23.00	Male	1.10
Undiluted honey and water	Virgin	23.00	Male	1.10
Undiluted honey and water	Virgin	23.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.20
Undiluted honey and water	Virgin	25.00	Male	1.15
Undiluted honey and water	Virgin	25.00	Male	1.30
Undiluted honey and water	Virgin	25.00	Male	1.20
Undiluted honey and water	Virgin	25.00	Male	1.15
Undiluted honey and water	Virgin	24.00	Male	1.30
Undiluted honey and water	Virgin	24.00	Male	1.35
Undiluted honey and water	Virgin	24.00	Male	1.30
Undiluted honey and water	Virgin	24.00	Male	1.45
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.35
Undiluted honey and water	Virgin	24.00	Male	1.45
Undiluted honey and water	Virgin	24.00	Male	1.50
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.35
Undiluted honey and water	Virgin	24.00	Male	1.25
Undiluted honey and water	Virgin	24.00	Male	1.55
Undiluted honey and water	Virgin	25.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.55
Undiluted honey and water	Virgin	28.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	27.00	Male	1.50
Undiluted honey and water	Virgin	27.00	Male	1.25
Undiluted honey and water	Virgin	28.00	Male	1.35
Undiluted honey and water	Virgin	28.00	Male	1.45
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	26.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.40
Undiluted honey and water	Virgin	28.00	Male	1.35
Undiluted honey and water	Virgin	28.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.45
Undiluted honey and water	Virgin	28.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.50
Undiluted honey and water	Virgin	30.00	Male	1.50
Undiluted honey and water	Virgin	28.00	Male	1.20
Undiluted honey and water	Virgin	28.00	Male	1.25
Undiluted honey and water	Virgin	28.00	Male	0.90
Undiluted honey and water	Virgin	28.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.40
Undiluted honey and water	Virgin	26.00	Male	1.30
Undiluted honey and water	Virgin	26.00	Male	1.35
Undiluted honey and water	Virgin	24.00	Male	1.40
Undiluted honey and water	Virgin	24.00	Male	1.30
Undiluted honey and water	Virgin	24.00	Male	1.35
Undiluted honey and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	32.00	Male	1.40
Honey agar diet and water	Virgin	30.00	Male	1.40
Honey agar diet and water	Virgin	30.00	Male	1.40
Honey agar diet and water	Virgin	30.00	Male	1.35
Honey agar diet and water	Virgin	31.00	Male	1.40
Honey agar diet and water	Virgin	34.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.45
Honey agar diet and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	26.00	Male	1.40
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	28.00	Male	1.50
Honey agar diet and water	Virgin	28.00	Male	1.50
Honey agar diet and water	Virgin	28.00	Male	1.55
Honey agar diet and water	Virgin	28.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.60
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	28.00	Male	1.50
Honey agar diet and water	Virgin	29.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.45
Honey agar diet and water	Virgin	30.00	Male	1.55
Honey agar diet and water	Virgin	30.00	Male	1.45
Honey agar diet and water	Virgin	28.00	Male	1.10
Honey agar diet and water	Virgin	29.00	Male	1.00
Honey agar diet and water	Virgin	29.00	Male	1.10
Honey agar diet and water	Virgin	24.00	Male	1.00
Honey agar diet and water	Virgin	27.00	Male	1.35
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	23.00	Male	1.50
Honey agar diet and water	Virgin	23.00	Male	1.40
Honey agar diet and water	Virgin	23.00	Male	1.40
Honey agar diet and water	Virgin	23.00	Male	1.40
Honey agar diet and water	Virgin	23.00	Male	1.45
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	25.00	Male	1.60
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.45
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.45
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.30
Honey agar diet and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	30.00	Male	1.30
Honey agar diet and water	Virgin	31.00	Male	1.45
Honey agar diet and water	Virgin	34.00	Male	1.50
Honey agar diet and water	Virgin	29.00	Male	1.40
Honey agar diet and water	Virgin	29.00	Male	1.40
Honey agar diet and water	Virgin	30.00	Male	1.45
Honey agar diet and water	Virgin	27.00	Male	1.55
Honey agar diet and water	Virgin	28.00	Male	1.55
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	34.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	24.00	Male	1.25
Honey agar diet and water	Virgin	26.00	Male	1.60
Honey agar diet and water	Virgin	31.00	Male	1.60
Honey agar diet and water	Virgin	31.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.55
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.25
Honey agar diet and water	Virgin	29.00	Male	1.10
Honey agar diet and water	Virgin	29.00	Male	1.00
Honey agar diet and water	Virgin	24.00	Male	1.25
Honey agar diet and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.10
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.40
Honey agar diet and water	Virgin	27.00	Male	1.25
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.25
Honey agar diet and water	Virgin	24.00	Male	1.25
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.45
Honey agar diet and water	Virgin	27.00	Male	1.35
Honey agar diet and water	Virgin	26.00	Male	1.40
Honey agar diet and water	Virgin	26.00	Male	1.45
Honey agar diet and water	Virgin	29.00	Male	1.30
Honey agar diet and water	Virgin	29.00	Male	1.30
Honey agar diet and water	Virgin	26.00	Male	1.45
Honey agar diet and water	Virgin	25.00	Male	1.30
Honey agar diet and water	Virgin	25.00	Male	1.45
Honey agar diet and water	Virgin	25.00	Male	1.45
Honey agar diet and water	Virgin	25.00	Male	1.30
Honey agar diet and water	Virgin	28.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.55
Honey agar diet and water	Virgin	26.00	Male	1.25
Honey agar diet and water	Virgin	28.00	Male	1.45
Honey agar diet and water	Virgin	27.00	Male	1.40
Honey agar diet and water	Virgin	23.00	Male	1.50
Honey agar diet and water	Virgin	24.00	Male	1.55
Honey agar diet and water	Virgin	24.00	Male	1.60
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	30.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.55
Honey agar diet and water	Virgin	27.00	Male	1.40
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.30
Honey agar diet and water	Virgin	25.00	Male	1.45
Honey agar diet and water	Virgin	27.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.25
Honey agar diet and water	Virgin	27.00	Male	1.30
Honey agar diet and water	Virgin	27.00	Male	1.30
Honey agar diet and water	Virgin	27.00	Male	1.25
Honey agar diet and water	Virgin	27.00	Male	1.30
Honey agar diet and water	Virgin	26.00	Male	1.45
Honey agar diet and water	Virgin	26.00	Male	1.35
Honey agar diet and water	Virgin	26.00	Male	1.45
Honey agar diet and water	Virgin	26.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.60
Honey agar diet and water	Virgin	25.00	Male	1.55
Honey agar diet and water	Virgin	24.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	27.00	Male	1.40
Honey agar diet and water	Virgin	27.00	Male	1.50
Honey agar diet and water	Virgin	27.00	Male	1.55
Honey agar diet and water	Virgin	25.00	Male	1.25
Honey agar diet and water	Virgin	25.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.00
Honey agar diet and water	Virgin	25.00	Male	1.25
Honey agar diet and water	Virgin	26.00	Male	1.30
Honey agar diet and water	Virgin	24.00	Male	1.25
Honey agar diet and water	Virgin	24.00	Male	1.15
Honey agar diet and water	Virgin	25.00	Male	1.15
Honey agar diet and water	Virgin	26.00	Male	1.10
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.15
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	28.00	Male	1.55
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.55
Honey agar diet and water	Virgin	25.00	Male	1.60
Honey agar diet and water	Virgin	25.00	Male	1.55
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.60
Honey agar diet and water	Virgin	26.00	Male	1.60
Honey agar diet and water	Virgin	24.00	Male	1.25
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.30
Honey agar diet and water	Virgin	24.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.10
Honey agar diet and water	Virgin	24.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.15
Honey agar diet and water	Virgin	24.00	Male	1.30
Honey agar diet and water	Virgin	24.00	Male	1.30
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.00
Honey agar diet and water	Virgin	24.00	Male	1.55
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	26.00	Male	1.45
Honey agar diet and water	Virgin	27.00	Male	1.30
Honey agar diet and water	Virgin	25.00	Male	1.65
Honey agar diet and water	Virgin	26.00	Male	1.30
Honey agar diet and water	Virgin	26.00	Male	1.10
Honey agar diet and water	Virgin	26.00	Male	1.25
Honey agar diet and water	Virgin	26.00	Male	1.35
Honey agar diet and water	Virgin	27.00	Male	1.35
Honey agar diet and water	Virgin	27.00	Male	1.30
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	25.00	Male	1.50
Honey agar diet and water	Virgin	23.00	Male	1.30
Honey agar diet and water	Virgin	23.00	Male	1.35
Honey agar diet and water	Virgin	23.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.45
Honey agar diet and water	Virgin	23.00	Male	1.25
Honey agar diet and water	Virgin	23.00	Male	1.50
Honey agar diet and water	Virgin	23.00	Male	1.45
Honey agar diet and water	Virgin	23.00	Male	1.45
Honey agar diet and water	Virgin	23.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.25
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	24.00	Male	1.30
Honey agar diet and water	Virgin	25.00	Male	1.65
Honey agar diet and water	Virgin	24.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.30
Honey agar diet and water	Virgin	24.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	25.00	Male	0.90
Honey agar diet and water	Virgin	24.00	Male	1.40
Honey agar diet and water	Virgin	24.00	Male	1.30
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.35
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	24.00	Male	1.40
Honey agar diet and water	Virgin	25.00	Male	1.25
Honey agar diet and water	Virgin	25.00	Male	1.05
Honey agar diet and water	Virgin	25.00	Male	1.35
Honey agar diet and water	Virgin	26.00	Male	1.15
Honey agar diet and water	Virgin	26.00	Male	1.25
Honey agar diet and water	Virgin	26.00	Male	1.10
Honey agar diet and water	Virgin	26.00	Male	1.35
Honey agar diet and water	Virgin	26.00	Male	1.25
Honey agar diet and water	Virgin	26.00	Male	1.25
Honey agar diet and water	Virgin	24.00	Male	1.55
Honey agar diet and water	Virgin	24.00	Male	1.50
Honey agar diet and water	Virgin	24.00	Male	1.55
Honey agar diet and water	Virgin	24.00	Male	1.55
Honey agar diet and water	Virgin	26.00	Male	1.35
Honey agar diet and water	Virgin	26.00	Male	1.40
Honey agar diet and water	Virgin	26.00	Male	1.35
Honey agar diet and water	Virgin	26.00	Male	1.50
Honey agar diet and water	Virgin	22.00	Male	1.25
Honey agar diet and water	Virgin	23.00	Male	1.20
Honey agar diet and water	Virgin	30.00	Male	1.50
Honey agar diet and water	Virgin	29.00	Male	1.45
